130050894,Theft,2900 Block BARKLEY AV,Santa Clara City Police Department,12/23/2013,0:00
130012838,Theft,HALFORD AV & MIRAMAR WAY,Santa Clara City Police Department,12/23/2013,0:00
130012861,Theft,3400 Block GRANADA AV,Santa Clara City Police Department,12/24/2013,0:00
130050895,Theft,2000 Block BROWN AV,Santa Clara City Police Department,12/24/2013,0:00
130012881,Theft,2600 Block AGATE CT,Santa Clara City Police Department,12/25/2013,0:00
131225038,Theft,2600 Block AGATE CT,Santa Clara City Police Department,12/25/2013,0:00
130012916,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/26/2013,0:00
130012904,Theft,3300 Block FOWLER AV,Santa Clara City Police Department,12/26/2013,0:00
131226151,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/26/2013,0:00
131227210,Breaking & Entering,1500 Block ALPINE AV,Santa Clara City Police Department,12/27/2013,0:00
130012922,Theft,1300 Block VIA DONDERA,Santa Clara City Police Department,12/27/2013,0:00
130012952,Breaking & Entering,1500 Block ALPINE AV,Santa Clara City Police Department,12/27/2013,0:00
131227026,Vehicle Recovery,1300 Block VIA DONDERA,Santa Clara City Police Department,12/27/2013,0:00
131228135,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/28/2013,0:00
131228003,Theft,1300 Block POMEROY AV,Santa Clara City Police Department,12/28/2013,0:00
130012980,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/28/2013,0:00
130012984,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/28/2013,0:00
131228121,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/28/2013,0:00
130012990,Theft,3300 Block CABRILLO AV,Santa Clara City Police Department,12/28/2013,0:00
131228172,Theft,3300 Block CABRILLO AV,Santa Clara City Police Department,12/28/2013,0:00
130013028,Theft,2500 Block AMETHYST DR,Santa Clara City Police Department,12/30/2013,0:00
S140510414,Breaking & Entering,900 Block TERRACE DR,Santa Clara County Sheriff's Office,2/20/2014,19:09
140001933,Theft,1900 Block HALFORD AV,Santa Clara City Police Department,2/20/2014,0:00
140220223,Theft,3700 Block POINCIANA DR,Santa Clara City Police Department,2/20/2014,0:00
140220208,Theft,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,2/20/2014,0:00
140220170,Breaking & Entering,2400 Block AMETHYST DR,Santa Clara City Police Department,2/20/2014,0:00
140001939,Theft,3400 Block EL CAMINO REAL,Santa Clara City Police Department,2/20/2014,0:00
140001936,Theft,3700 Block POINCIANA DR,Santa Clara City Police Department,2/20/2014,0:00
140001949,Theft,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,2/20/2014,0:00
140001897,Theft,2100 Block BROWN AV,Santa Clara City Police Department,2/19/2014,0:00
140219178,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,2/19/2014,0:00
140001895,Theft,3400 Block VICTORIA AV,Santa Clara City Police Department,2/19/2014,0:00
140001875,Theft,3500 Block GRANADA AV,Santa Clara City Police Department,2/19/2014,0:00
140001874,Theft,3400 Block VICTORIA AV,Santa Clara City Police Department,2/19/2014,0:00
140218095,Theft,2900 Block CABRILLO AV,Santa Clara City Police Department,2/18/2014,0:00
140001835,Theft,3100 Block EL CAMINO REAL,Santa Clara City Police Department,2/18/2014,0:00
140001836,Assault,LAWRENCE STATION RD & ST LAWRENCE DR,Santa Clara City Police Department,2/18/2014,0:00
